CustomerID	CustomerName
1	Customer 1
2	Customer 2
7	Customer 7
19	Customer 19
20	Customer 20
37	Customer 37
38	Customer 38
43	Customer 43
55	Customer 55
56	Customer 56
73	Customer 73
74	Customer 74
91	Customer 91
92	Customer 92
109	Customer 109
110	Customer 110
115	Customer 115
127	Customer 127
128	Customer 128
145	Customer 145
146	Customer 146
163	Customer 163
164	Customer 164
169	Customer 169
181	Customer 181
182	Customer 182
199	Customer 199
200	Customer 200
217	Customer 217
218	Customer 218
235	Customer 235
236	Customer 236
253	Customer 253
254	Customer 254
271	Customer 271
272	Customer 272
289	Customer 289
290	Customer 290
293	Customer 293
307	Customer 307
308	Customer 308
325	Customer 325
326	Customer 326
343	Customer 343
344	Customer 344
361	Customer 361
362	Customer 362
379	Customer 379
380	Customer 380
397	Customer 397
398	Customer 398
401	Customer 401
415	Customer 415
416	Customer 416
433	Customer 433
434	Customer 434
438	Customer 438
451	Customer 451
452	Customer 452
469	Customer 469
470	Customer 470
487	Customer 487
488	Customer 488
505	Customer 505
506	Customer 506
541	Customer 541
542	Customer 542
559	Customer 559
560	Customer 560
564	Customer 564
577	Customer 577
578	Customer 578
595	Customer 595
596	Customer 596
601	Customer 601
604	Customer 604
605	Customer 605
620	Customer 620
621	Customer 621
626	Customer 626
644	Customer 644
645	Customer 645
650	Customer 650
668	Customer 668
669	Customer 669
672	Customer 672
673	Customer 673
692	Customer 692
693	Customer 693
696	Customer 696
697	Customer 697
698	Customer 698
11012	Customer 11012
11013	Customer 11013
11014	Customer 11014
11021	Customer 11021
11022	Customer 11022
11040	Customer 11040
11062	Customer 11062
11063	Customer 11063
11066	Customer 11066
11067	Customer 11067
11084	Customer 11084
11128	Customer 11128
11129	Customer 11129
11130	Customer 11130
11133	Customer 11133
11137	Customer 11137
11144	Customer 11144
11145	Customer 11145
11152	Customer 11152
11153	Customer 11153
11154	Customer 11154
11157	Customer 11157
11166	Customer 11166
11167	Customer 11167
11170	Customer 11170
11172	Customer 11172
11173	Customer 11173
11182	Customer 11182
11187	Customer 11187
11189	Customer 11189
11192	Customer 11192
11193	Customer 11193
11195	Customer 11195
11196	Customer 11196
11197	Customer 11197
11204	Customer 11204
11205	Customer 11205
11206	Customer 11206
