SalesOrderID	OrderDate	SalesOrderNumber	CustomerID
43659	31/5/2011	SO43659	29825
43660	31/5/2011	SO43660	29672
43661	31/5/2011	SO43661	29734
43662	31/5/2011	SO43662	29994
43663	31/5/2011	SO43663	29565
43664	31/5/2011	SO43664	29898
43665	31/5/2011	SO43665	29580
43666	31/5/2011	SO43666	30052
43667	31/5/2011	SO43667	29974
43668	31/5/2011	SO43668	29614
43669	31/5/2011	SO43669	29747
43670	31/5/2011	SO43670	29566
43671	31/5/2011	SO43671	29890
43672	31/5/2011	SO43672	30067
43673	31/5/2011	SO43673	29844
43674	31/5/2011	SO43674	29596
43675	31/5/2011	SO43675	29827
43676	31/5/2011	SO43676	29811
43677	31/5/2011	SO43677	29824
43678	31/5/2011	SO43678	29889
43679	31/5/2011	SO43679	29761
43680	31/5/2011	SO43680	29489
43681	31/5/2011	SO43681	29661
43682	31/5/2011	SO43682	29759
43683	31/5/2011	SO43683	29497
43684	31/5/2011	SO43684	29912
43685	31/5/2011	SO43685	30084
43686	31/5/2011	SO43686	29606
43687	31/5/2011	SO43687	29610
43688	31/5/2011	SO43688	29718
43689	31/5/2011	SO43689	29646
43690	31/5/2011	SO43690	29533
43691	31/5/2011	SO43691	29570
43692	31/5/2011	SO43692	29992
43693	31/5/2011	SO43693	29491
43694	31/5/2011	SO43694	29549
43695	31/5/2011	SO43695	29958
43696	31/5/2011	SO43696	29849
43697	31/5/2011	SO43697	21768
43698	31/5/2011	SO43698	28389
43699	31/5/2011	SO43699	25863
43700	31/5/2011	SO43700	14501
43701	31/5/2011	SO43701	11003
43702	1/6/2011	SO43702	27645
43703	1/6/2011	SO43703	16624
43704	1/6/2011	SO43704	11005
43705	1/6/2011	SO43705	11011
43706	2/6/2011	SO43706	27621
43707	2/6/2011	SO43707	27616
43708	2/6/2011	SO43708	20042
43709	2/6/2011	SO43709	16351
43710	2/6/2011	SO43710	16517
43711	3/6/2011	SO43711	27606
43712	3/6/2011	SO43712	13513
43713	4/6/2011	SO43713	27601
43714	4/6/2011	SO43714	13591
43715	4/6/2011	SO43715	16483
43716	4/6/2011	SO43716	16529
43717	4/6/2011	SO43717	25249
43718	5/6/2011	SO43718	27668
43719	5/6/2011	SO43719	27612
43720	5/6/2011	SO43720	13264
43721	5/6/2011	SO43721	13590
43722	6/6/2011	SO43722	13581
43723	6/6/2011	SO43723	14520
43724	6/6/2011	SO43724	16520
43725	7/6/2011	SO43725	13258
43726	7/6/2011	SO43726	14560
43727	7/6/2011	SO43727	16607
43728	8/6/2011	SO43728	27666
43729	8/6/2011	SO43729	11238
43730	8/6/2011	SO43730	25861
43731	8/6/2011	SO43731	16629
43732	8/6/2011	SO43732	11025
43733	8/6/2011	SO43733	27577
43734	9/6/2011	SO43734	27604
43735	9/6/2011	SO43735	16522
