ProductID	ProductName	ProductSubCategory	ProductCategory
680	HL Road Frame - Black, 58	Road Frames	Components
706	HL Road Frame - Red, 58	Road Frames	Components
707	Sport-100 Helmet, Red	Helmets	Accessories
708	Sport-100 Helmet, Black	Helmets	Accessories
709	Mountain Bike Socks, M	Socks	Clothing
710	Mountain Bike Socks, L	Socks	Clothing
711	Sport-100 Helmet, Blue	Helmets	Accessories
712	AWC Logo Cap	Caps	Clothing
713	Long-Sleeve Logo Jersey, S	Jerseys	Clothing
714	Long-Sleeve Logo Jersey, M	Jerseys	Clothing
715	Long-Sleeve Logo Jersey, L	Jerseys	Clothing
716	Long-Sleeve Logo Jersey, XL	Jerseys	Clothing
717	HL Road Frame - Red, 62	Road Frames	Components
718	HL Road Frame - Red, 44	Road Frames	Components
719	HL Road Frame - Red, 48	Road Frames	Components
720	HL Road Frame - Red, 52	Road Frames	Components
721	HL Road Frame - Red, 56	Road Frames	Components
722	LL Road Frame - Black, 58	Road Frames	Components
723	LL Road Frame - Black, 60	Road Frames	Components
724	LL Road Frame - Black, 62	Road Frames	Components
725	LL Road Frame - Red, 44	Road Frames	Components
726	LL Road Frame - Red, 48	Road Frames	Components
727	LL Road Frame - Red, 52	Road Frames	Components
728	LL Road Frame - Red, 58	Road Frames	Components
729	LL Road Frame - Red, 60	Road Frames	Components
730	LL Road Frame - Red, 62	Road Frames	Components
731	ML Road Frame - Red, 44	Road Frames	Components
732	ML Road Frame - Red, 48	Road Frames	Components
733	ML Road Frame - Red, 52	Road Frames	Components
734	ML Road Frame - Red, 58	Road Frames	Components
735	ML Road Frame - Red, 60	Road Frames	Components
736	LL Road Frame - Black, 44	Road Frames	Components
737	LL Road Frame - Black, 48	Road Frames	Components
738	LL Road Frame - Black, 52	Road Frames	Components
739	HL Mountain Frame - Silver, 42	Mountain Frames	Components
740	HL Mountain Frame - Silver, 44	Mountain Frames	Components
741	HL Mountain Frame - Silver, 48	Mountain Frames	Components
742	HL Mountain Frame - Silver, 46	Mountain Frames	Components
743	HL Mountain Frame - Black, 42	Mountain Frames	Components
744	HL Mountain Frame - Black, 44	Mountain Frames	Components
745	HL Mountain Frame - Black, 48	Mountain Frames	Components
746	HL Mountain Frame - Black, 46	Mountain Frames	Components
747	HL Mountain Frame - Black, 38	Mountain Frames	Components
748	HL Mountain Frame - Silver, 38	Mountain Frames	Components
749	Road-150 Red, 62	Road Bikes	Bikes
750	Road-150 Red, 44	Road Bikes	Bikes
751	Road-150 Red, 48	Road Bikes	Bikes
752	Road-150 Red, 52	Road Bikes	Bikes
753	Road-150 Red, 56	Road Bikes	Bikes
754	Road-450 Red, 58	Road Bikes	Bikes
755	Road-450 Red, 60	Road Bikes	Bikes
756	Road-450 Red, 44	Road Bikes	Bikes
757	Road-450 Red, 48	Road Bikes	Bikes
758	Road-450 Red, 52	Road Bikes	Bikes
759	Road-650 Red, 58	Road Bikes	Bikes
760	Road-650 Red, 60	Road Bikes	Bikes
761	Road-650 Red, 62	Road Bikes	Bikes
762	Road-650 Red, 44	Road Bikes	Bikes
763	Road-650 Red, 48	Road Bikes	Bikes
764	Road-650 Red, 52	Road Bikes	Bikes
765	Road-650 Black, 58	Road Bikes	Bikes
766	Road-650 Black, 60	Road Bikes	Bikes
767	Road-650 Black, 62	Road Bikes	Bikes
768	Road-650 Black, 44	Road Bikes	Bikes
769	Road-650 Black, 48	Road Bikes	Bikes
770	Road-650 Black, 52	Road Bikes	Bikes
771	Mountain-100 Silver, 38	Mountain Bikes	Bikes
772	Mountain-100 Silver, 42	Mountain Bikes	Bikes
773	Mountain-100 Silver, 44	Mountain Bikes	Bikes
774	Mountain-100 Silver, 48	Mountain Bikes	Bikes
775	Mountain-100 Black, 38	Mountain Bikes	Bikes
776	Mountain-100 Black, 42	Mountain Bikes	Bikes
777	Mountain-100 Black, 44	Mountain Bikes	Bikes
778	Mountain-100 Black, 48	Mountain Bikes	Bikes
779	Mountain-200 Silver, 38	Mountain Bikes	Bikes
780	Mountain-200 Silver, 42	Mountain Bikes	Bikes
